game_id,date,time,season,home_team,away_team,home_score,away_score,home_corners,away_corners,total_corners,goal_diff,total_goals,is_draw,home_win,away_win,attendance,venue,odds_details,odds_over_under,home_moneyline_odds,away_moneyline_odds,closing_moneyline_odds,closing_spread_odds,closing_total_odds,odds_data_quality,shootout,status_completed,status_state,status_description,status_detail
748510,2026-05-17,11:00,2026,LEV,MLL,0,0,0,0,0,0,0,1,0,0,0,Estadi Ciutat de València,LEV +115,2.5,115.0,235.0,115.0,100.0,-120.0,real,0,0,pre,,
748511,2026-05-17,11:00,2026,OSA,ESP,0,0,0,0,0,0,0,1,0,0,0,El Sadar,OSA +100,2.5,100.0,280.0,100.0,-110.0,100.0,real,0,0,pre,,
748512,2026-05-17,11:00,2026,RAY,VIL,0,0,0,0,0,0,0,1,0,0,0,Estadio de Vallecas,RAY +145,2.5,145.0,180.0,145.0,130.0,-140.0,real,0,0,pre,,
748513,2026-05-17,11:00,2026,OVI,ALA,0,0,0,0,0,0,0,1,0,0,0,Estadio Carlos Tartiere,ALA -115,2.5,300.0,-115.0,-115.0,-130.0,120.0,real,0,0,pre,,
748514,2026-05-23,13:00,2026,RMA,ATH,0,0,0,0,0,0,0,1,0,0,0,Santiago Bernabéu,N/A,0.0,,,,,,fallback,0,0,pre,,
748516,2026-05-23,13:00,2026,ESP,RSO,0,0,0,0,0,0,0,1,0,0,0,RCDE Stadium,N/A,0.0,,,,,,fallback,0,0,pre,,
748517,2026-05-23,13:00,2026,CEL,SEV,0,0,0,0,0,0,0,1,0,0,0,Balaidos,N/A,0.0,,,,,,fallback,0,0,pre,,
748518,2026-05-23,13:00,2026,GET,OSA,0,0,0,0,0,0,0,1,0,0,0,Estadio Coliseum,N/A,0.0,,,,,,fallback,0,0,pre,,
748519,2026-05-23,13:00,2026,VAL,BAR,0,0,0,0,0,0,0,1,0,0,0,Mestalla Stadium,N/A,0.0,,,,,,fallback,0,0,pre,,
748520,2026-05-23,13:00,2026,GIR,ELC,0,0,0,0,0,0,0,1,0,0,0,Estadi Montilivi,N/A,0.0,,,,,,fallback,0,0,pre,,
748521,2026-05-23,13:00,2026,MLL,OVI,0,0,0,0,0,0,0,1,0,0,0,Estadi Mallorca Son Moix,N/A,0.0,,,,,,fallback,0,0,pre,,
748522,2026-05-23,13:00,2026,BET,LEV,0,0,0,0,0,0,0,1,0,0,0,Estadio La Cartuja,N/A,0.0,,,,,,fallback,0,0,pre,,
748523,2026-05-23,13:00,2026,ALA,RAY,0,0,0,0,0,0,0,1,0,0,0,Mendizorrotza,N/A,0.0,,,,,,fallback,0,0,pre,,
748515,2026-05-24,13:00,2026,VIL,ATM,0,0,0,0,0,0,0,1,0,0,0,Estadio de la Cerámica,N/A,0.0,,,,,,fallback,0,0,pre,,
